keyword,cluster,intent,target_url,page_type,priority,target_term,volume_to_confirm,notes
"iit madras bs degree","A — Brand & Program","Informational/Nav","https://genziitian.in/iitm-bs/","Master pillar","P1","Evergreen — append papers each term","Yes","Head term"
"iitm bs data science","A — Brand & Program","Informational/Nav","https://genziitian.in/iitm-bs/","Master pillar","P1","Evergreen — append papers each term","Yes",""
"iit madras online degree","A — Brand & Program","Informational/Nav","https://genziitian.in/iitm-bs/","Master pillar","P1","Evergreen — append papers each term","Yes",""
"iitm bs degree fees","A — Brand & Program","Decision","https://genziitian.in/iitm-bs/fees/","Pillar sub-section + blog","P1","Evergreen — append papers each term","Yes",""
"iitm bs degree eligibility","A — Brand & Program","Decision","https://genziitian.in/iitm-bs/eligibility/","Pillar sub-section","P1","Evergreen — append papers each term","Yes",""
"iitm bs degree syllabus","A — Brand & Program","Informational","https://genziitian.in/iitm-bs/syllabus/","Pillar sub-section","P1","Evergreen — append papers each term","Yes",""
"iitm bs admission","A — Brand & Program","Decision","https://genziitian.in/iitm-bs/admission/","Process page","P1","Per intake (Jan/May/Sep)","Yes","Update each cycle"
"iitm bs vs bsc","A — Brand & Program","Consideration","https://genziitian.in/blog/iitm-bs-vs-bsc/","Comparison blog","P2","Evergreen — append papers each term","Maybe",""
"is iitm bs degree worth it","A — Brand & Program","Consideration","https://genziitian.in/blog/is-iitm-bs-degree-worth-it/","Opinion blog","P2","Evergreen — append papers each term","Yes",""
"iitm bs degree placements","A — Brand & Program","Consideration","https://genziitian.in/blog/iitm-bs-placements/","Outcomes blog","P2","Evergreen — append papers each term","Yes",""
"iit madras bs electronic systems","A — Brand & Program","Informational","https://genziitian.in/iitm-bs/electronic-systems/","Program-variant pillar","P2","Evergreen — append papers each term","Maybe","Phase 4"
"bs management and data science iit madras","A — Brand & Program","Informational","https://genziitian.in/iitm-bs/management-data-science/","Program-variant pillar","P2","Evergreen — append papers each term","Maybe","Phase 4"
"genz iitian","A — Brand & Program","Navigational","https://genziitian.in/","Homepage","P1","Evergreen — append papers each term","No","Own brand — own SERP"
"iit pathshala","A — Brand & Program","Navigational","https://genziitian.in/","Homepage","P1","Evergreen — append papers each term","No","301 from iitpathshala.in"
"iitm bs pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/pyq/","PYQ hub","P1","Evergreen — append papers each term","Yes","Flagship head term"
"iit madras bs degree previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/pyq/","PYQ hub","P1","Evergreen — append papers each term","Yes",""
"qualifier pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/qualifier/pyq/","Qualifier PYQ page","P1","Evergreen — append papers each term","Yes",""
"qualifier previous year question paper iitm bs","B — PYQs","Transactional","https://genziitian.in/iitm-bs/qualifier/pyq/","Qualifier PYQ page","P1","Evergreen — append papers each term","Yes",""
"maths 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Yes",""
"maths 1 pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"maths 1 previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"maths 1 quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"maths 1 quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"maths 1 end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"maths 1 pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"maths 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Yes",""
"maths 2 pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"maths 2 previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"maths 2 quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"maths 2 quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"maths 2 end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"maths 2 pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"statistics 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Yes",""
"statistics 1 pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"statistics 1 previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"statistics 1 quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"statistics 1 quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"statistics 1 end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"statistics 1 pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"statistics 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Yes",""
"statistics 2 pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"statistics 2 previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/pyq/","Course PYQ page","P1","Evergreen — append papers each term","Maybe",""
"statistics 2 quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"statistics 2 quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"statistics 2 end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"statistics 2 pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
